Periodo,Índice general 
01/12/1996,28.62069759
02/12/1996,28.89797512
01/01/1997,29.3608215
02/01/1997,29.636807
01/02/1997,29.90159837
02/02/1997,30.08759773
01/03/1997,30.28637076
02/03/1997,30.44955083
01/04/1997,30.62693959
02/04/1997,30.76500435
01/05/1997,30.91383274
02/05/1997,31.03840631
01/06/1997,31.18967474
02/06/1997,31.31223929
01/07/1997,31.4630767
02/07/1997,31.58320174
01/08/1997,31.73504417
02/08/1997,31.8718169
01/09/1997,32.14851991
02/09/1997,32.25070522
01/10/1997,32.40297815
02/10/1997,32.51090351
01/11/1997,32.74469499
02/11/1997,32.8955324
01/12/1997,33.14410606
02/12/1997,33.41549952
01/01/1998,33.86442421
02/01/1998,34.14342375
01/02/1998,34.51327046
02/02/1998,34.68520514
01/03/1998,34.92545469
02/03/1998,35.08346819
01/04/1998,35.26186146
02/04/1998,35.40236626
01/05/1998,35.5398565
02/05/1998,35.68696287
01/06/1998,35.95806882
02/06/1998,36.11077226
01/07/1998,36.30782276
02/07/1998,36.45593364
01/08/1998,36.64466003
02/08/1998,36.81846075
01/09/1998,37.16807119
02/09/1998,37.48668173
01/10/1998,37.77902845
02/10/1998,37.94550956
01/11/1998,38.31463824
02/11/1998,38.75107729
01/12/1998,39.2941507
02/12/1998,39.65165474
01/01/1999,40.2940424
02/01/1999,40.64551836
01/02/1999,40.92767545
02/02/1999,41.09961013
01/03/1999,41.29594312
02/03/1999,41.49342412
01/04/1999,41.6870306
02/04/1999,41.86197932
01/05/1999,41.96430761
02/05/1999,42.08730267
01/06/1999,42.24416816
02/06/1999,42.35998764
01/07/1999,42.52474674
02/07/1999,42.63841318
01/08/1999,42.77073686
02/08/1999,42.87191714
01/09/1999,43.17029143
02/09/1999,43.29988858
01/10/1999,43.46077263
02/10/1999,43.55692985
01/11/1999,43.82114721
02/11/1999,43.97040611
01/12/1999,44.19400744
02/12/1999,44.47702554
01/01/2000,44.80927026
02/01/2000,45.05224634
01/02/2000,45.27254714
02/02/2000,45.38607009
01/03/2000,45.53044942
02/03/2000,45.6310557
01/04/2000,45.78634268
02/04/2000,45.89369403
01/05/2000,45.96631446
02/05/2000,46.05644359
01/06/2000,46.2299573
02/06/2000,46.33788318
01/07/2000,46.4337534
02/07/2000,46.49503568
01/08/2000,46.61587822
02/08/2000,46.82369235
01/09/2000,47.03423352
02/09/2000,47.08790971
01/10/2000,47.29514984
02/10/2000,47.47512162
01/11/2000,47.73216289
02/11/2000,47.84855637
01/12/2000,48.19285675
02/12/2000,48.42248565
01/01/2001,48.55968941
02/01/2001,48.59126331
01/02/2001,48.52754099
02/02/2001,48.5591154
01/03/2001,48.72387398
02/03/2001,48.97775771
01/04/2001,49.05066514
02/04/2001,49.14380832
01/05/2001,49.15543347
02/05/2001,49.26450735
01/06/2001,49.31717852
02/06/2001,49.33554875
01/07/2001,49.15902152
02/07/2001,49.23752602
01/08/2001,49.40745168
02/08/2001,49.57177975
01/09/2001,49.90589051
02/09/2001,49.99487163
01/10/2001,50.11944572
02/10/2001,50.23282516
01/11/2001,50.37232493
02/11/2001,50.35782924
01/12/2001,50.43590323
02/12/2001,50.43375071
01/01/2002,50.80101388
02/01/2002,51.00007391
01/02/2002,50.86703221
02/02/2002,50.86846723
01/03/2002,51.0157171
02/03/2002,51.24032346
01/04/2002,51.47135267
02/04/2002,51.34322576
01/05/2002,51.48358654
02/05/2002,51.53927175
01/06/2002,51.71981754
02/06/2002,51.80549814
01/07/2002,51.87284528
02/07/2002,51.95003548
01/08/2002,52.07851311
02/08/2002,52.13912555
01/09/2002,52.39659887
02/09/2002,52.4468502
01/10/2002,52.62454306
02/10/2002,52.68204717
01/11/2002,53.00324125
02/11/2002,53.15399525
01/12/2002,53.27418401
02/12/2002,53.3456756
01/01/2003,53.51456152
02/01/2003,53.53631983
01/02/2003,53.6161003
02/02/2003,53.73214461
01/03/2003,53.9440291
02/03/2003,54.08183173
01/04/2003,54.08804839
02/04/2003,54.12224001
01/05/2003,53.89895832
02/05/2003,53.96164297
01/06/2003,53.95076382
02/06/2003,53.99946098
01/07/2003,54.04556788
02/07/2003,54.06162758
01/08/2003,54.15953997
02/08/2003,54.27092179
01/09/2003,54.52787706
02/09/2003,54.54808121
01/10/2003,54.70194354
02/10/2003,54.77447124
01/11/2003,55.15057915
02/11/2003,55.23450406
01/12/2003,55.35780114
02/12/2003,55.50233848
01/01/2004,55.68521189
02/01/2004,55.86342281
01/02/2004,56.04215177
02/02/2004,56.17373774
01/03/2004,56.27734874
02/03/2004,56.31931119
01/04/2004,56.31775702
02/04/2004,56.44778883
01/05/2004,56.23694045
02/05/2004,56.24678349
01/06/2004,56.29858899
02/06/2004,56.36490003
01/07/2004,56.44882494
02/07/2004,56.51047348
01/08/2004,56.7254663
02/08/2004,56.93061607
01/09/2004,57.24507544
02/09/2004,57.35075866
01/10/2004,57.64605
02/10/2004,57.74344433
01/11/2004,58.11333559
02/11/2004,58.26098126
01/12/2004,58.34905061
02/12/2004,58.26564375
01/01/2005,58.31434092
02/01/2005,58.30397982
01/02/2005,58.40344638
02/02/2005,58.6034156
01/03/2005,58.72153214
02/03/2005,58.81270982
01/04/2005,58.85933476
02/04/2005,59.09401367
01/05/2005,58.84586533
02/05/2005,58.81011954
01/06/2005,58.72464047
02/06/2005,58.81892647
01/07/2005,58.98366796
02/07/2005,59.02044986
01/08/2005,59.06293037
02/08/2005,59.0810623
01/09/2005,59.29139262
02/09/2005,59.32662036
01/10/2005,59.43800218
02/10/2005,59.4711577
01/11/2005,59.86902392
02/11/2005,59.89648084
01/12/2005,60.14514723
02/12/2005,60.35495949
01/01/2006,60.54767595
02/01/2006,60.65957582
01/02/2006,60.70205633
02/02/2006,60.69065912
01/03/2006,60.71552576
02/03/2006,60.82949786
01/04/2006,60.84503951
02/04/2006,60.87767697
01/05/2006,60.57979536
02/05/2006,60.60155367
01/06/2006,60.64610639
02/06/2006,60.64040779
01/07/2006,60.7771743
02/07/2006,60.84141312
01/08/2006,61.02169626
02/08/2006,61.21752104
01/09/2006,61.58482202
02/09/2006,61.88840224
01/10/2006,62.06298677
02/10/2006,61.95056884
01/11/2006,62.26761849
02/11/2006,62.39661418
01/12/2006,62.63750974
02/12/2006,62.7473374
01/01/2007,62.95455939
02/01/2007,63.07785648
01/02/2007,63.16696193
02/02/2007,63.21824938
01/03/2007,63.26953682
02/03/2007,63.38920752
01/04/2007,63.25658545
02/04/2007,63.32600481
01/05/2007,63.00170239
02/05/2007,62.96336633
01/06/2007,63.01517182
02/06/2007,63.10168701
01/07/2007,63.25658545
02/07/2007,63.39542418
01/08/2007,63.52493793
02/08/2007,63.64357252
01/09/2007,64.03988458
02/09/2007,64.1155206
01/10/2007,64.32015232
02/10/2007,64.33413981
01/11/2007,64.74806574
02/11/2007,64.81437677
01/12/2007,64.9418183
02/12/2007,65.15681112
01/01/2008,65.33502203
02/01/2008,65.36610533
01/02/2008,65.44847607
02/02/2008,65.64119252
01/03/2008,65.95461579
02/03/2008,66.08464759
01/04/2008,66.12350171
02/04/2008,66.21675161
01/05/2008,66.04164903
02/05/2008,66.15562112
01/06/2008,66.34419313
02/06/2008,66.40066113
01/07/2008,66.65502612
02/07/2008,66.82961065
01/08/2008,67.03579653
02/08/2008,67.21970605
01/09/2008,67.51396128
02/09/2008,67.65590835
01/10/2008,67.98539132
02/10/2008,68.10506202
01/11/2008,68.74796825
02/11/2008,68.88991531
01/12/2008,69.20282052
02/12/2008,69.3882842
01/01/2009,69.4918952
