Periodo, Índice general total
2003/02,53.67412245
2003/03,54.01293041
2003/04,54.1051442
2003/05,53.93055967
2003/06,53.9751124
2003/07,54.0533387
2003/08,54.21548991
2003/09,54.53823816
2003/10,54.73820739
2003/11,55.19254161
2003/12,55.42981079
2004/01,55.77431735
2004/02,56.10794476
2004/03,56.29807094
2004/04,56.38303195
2004/05,56.24160294
2004/06,56.33174451
2004/07,56.47939018
2004/08,56.82804118
2004/09,57.29791705
2004/10,57.69474717
2004/11,58.1868994
2004/12,58.30708815
2005/01,58.30916037
2005/02,58.50343099
2005/03,58.76712098
2005/04,58.97641519
2005/05,58.82825146
2005/06,58.77178347
2005/07,59.00179988
2005/08,59.07225536
2005/09,59.30900649
2005/10,59.45457994
2005/11,59.88249335
2005/12,60.25031239
2006/01,60.60362589
2006/02,60.69635773
2006/03,60.77251181
2006/04,60.86161727
2006/05,60.59067451
2006/06,60.64299806
2006/07,60.80929371
2006/08,61.11960865
2006/09,61.73661213
2006/10,62.00651878
2006/11,62.3318573
2006/12,62.69242357
2007/01,63.01620793
2007/02,63.19234663
2007/03,63.32911314
2007/04,63.29129513
2007/05,62.98253436
2007/06,63.05817039
2007/07,63.32600481
2007/08,63.58399619
2007/09,64.07770259
2007/10,64.32740509
2007/11,64.78122126
2007/12,65.04905568
2008/01,65.35056368
2008/02,65.5448343
2008/03,66.01989072
2008/04,66.17012666
2008/05,66.09863507
2008/06,66.3721681
2008/07,66.74205936
2008/08,67.12749227
2008/09,67.58493481
2008/10,68.04548569
2008/11,68.81894178
2008/12,69.29555236
2009/01,69.45614941
2009/02,69.60949368
2009/03,70.00995018
2009/04,70.25499019
2009/05,70.05035847
2009/06,70.17935416
2009/07,70.37051645
2009/08,70.53888432
2009/09,70.89271587
2009/10,71.10719063
2009/11,71.47604578
2009/12,71.77185517
2010/01,72.55204598
2010/02,72.97167051
2010/03,73.48972549
2010/04,73.25556464
2010/05,72.79397765
2010/06,72.77118323
2010/07,72.92919
2010/08,73.1317495
2010/09,73.51511019
2010/10,73.96892635
2010/11,74.56158125
2010/12,74.93095445
2011/01,75.29599135
2011/02,75.57846024
2011/03,75.72345093
2011/04,75.71744095
2011/05,75.15926438
2011/06,75.15550814
2011/07,75.51610674
2011/08,75.63555502
2011/09,75.82111305
2011/10,76.3327123
2011/11,77.15833283
2011/12,77.79238536
2012/01,78.34304946
2012/02,78.50231384
2012/03,78.54738867
2012/04,78.30097963
2012/05,78.05381934
2012/06,78.41366669
2012/07,78.85389747
2012/08,79.0905403
2012/09,79.43911894
2012/10,79.84103612
2012/11,80.3834365
2012/12,80.56824328
2013/01,80.89278202
2013/02,81.29094297
2013/03,81.88743314
2013/04,81.94152293
2013/05,81.66882024
2013/06,81.61923793
2013/07,81.59219304
2013/08,81.82432839
2013/09,82.13233968
2013/10,82.52298816
2013/11,83.29226516
2013/12,83.7700583
2014/01,84.51905163
2014/02,84.73315704
2014/03,84.96529239
2014/04,84.80677925
2014/05,84.53557906
2014/06,84.68207224
2014/07,84.91495883
2014/08,85.21996514
2014/09,85.59633992
2014/10,86.06962558
2014/11,86.76377787
2014/12,87.18898371
2015/01,87.11010277
2015/02,87.27537713
2015/03,87.63071699
2015/04,87.40384038
2015/05,86.96736583
2015/06,87.11310776
2015/07,87.24081976
2015/08,87.42487529
2015/09,87.75241902
2015/10,88.2039185
2015/11,88.68546788
2015/12,89.04681772
2016/01,89.38638139
2016/02,89.77778112
2016/03,89.9100006
2016/04,89.62527796
2016/05,89.22561452
2016/06,89.32402789
2016/07,89.55691448
2016/08,89.80933349
2016/09,90.35774385
2016/10,90.90615422
2016/11,91.61683394
2016/12,92.0390348
2017/01,93.60388244
2017/02,94.14478034
2017/03,94.72248933
2017/04,94.83893263
